year,date,median,low,high
2019,2020-01-01,0,12,95
2019,2020-01-02,0,30,124
2019,2020-01-03,0,26,117
2019,2020-01-04,0,34,144
2019,2020-01-05,0,22,148
2019,2020-01-06,0,20,130
2019,2020-01-07,0,24,112
2019,2020-01-08,0,26,129
2019,2020-01-09,0,34,143
2019,2020-01-10,0,26,126
2019,2020-01-11,0,18,79
2019,2020-01-12,0,14,86
2019,2020-01-13,0,8,65
2019,2020-01-14,0,14,57
2019,2020-01-15,0,15,61
2019,2020-01-16,0,15,60
2019,2020-01-17,0,16,65
2019,2020-01-18,0,16,67
2019,2020-01-19,0,11,73
2019,2020-01-20,0,9,53
2019,2020-01-21,0,9,65
2019,2020-01-22,0,15,59
2019,2020-01-23,0,16,59
2019,2020-01-24,0,16,56
2019,2020-01-25,0,17,70
2019,2020-01-26,0,12,80
2019,2020-01-27,0,9,68
2019,2020-01-28,0,14,52
2019,2020-01-29,0,15,58
2019,2020-01-30,0,13,53
2019,2020-01-31,0,13,53
2019,2020-02-01,0,14,61
2019,2020-02-02,0,12,78
2019,2020-02-03,0,7,52
2019,2020-02-04,0,16,57
2019,2020-02-05,0,17,62
2019,2020-02-06,0,14,57
2019,2020-02-07,0,13,57
2019,2020-02-08,0,15,65
2019,2020-02-09,0,12,77
2019,2020-02-10,0,8,63
2019,2020-02-11,0,15,59
2019,2020-02-12,0,13,55
2019,2020-02-13,0,15,71
2019,2020-02-14,0,16,68
2019,2020-02-15,0,18,70
2019,2020-02-16,0,13,81
2019,2020-02-17,0,10,65
2019,2020-02-18,0,13,71
2019,2020-02-19,0,17,63
2019,2020-02-20,0,12,50
2019,2020-02-21,0,17,66
2019,2020-02-22,0,17,75
2019,2020-02-23,0,12,79
2019,2020-02-24,0,8,53
2019,2020-02-25,0,14,56
2019,2020-02-26,0,13,54
2019,2020-02-27,0,14,59
2019,2020-02-28,0,15,61
2019,2020-03-01,0,19,71
2019,2020-03-02,0,10,76
2019,2020-03-03,0,10,64
2019,2020-03-04,0,13,56
2019,2020-03-05,0,14,58
2019,2020-03-06,0,15,60
2019,2020-03-07,0,15,66
2019,2020-03-08,0,15,66
2019,2020-03-09,0,13,81
2019,2020-03-10,0,7,54
2019,2020-03-11,0,16,60
2019,2020-03-12,0,14,56
2019,2020-03-13,0,15,59
2019,2020-03-14,0,16,63
2019,2020-03-15,0,17,71
2019,2020-03-16,0,15,91
2019,2020-03-17,0,9,66
2019,2020-03-18,0,15,61
2019,2020-03-19,0,15,60
2019,2020-03-20,0,17,62
2019,2020-03-21,0,15,58
2019,2020-03-22,0,18,74
2019,2020-03-23,0,12,93
2019,2020-03-24,0,9,69
2019,2020-03-25,0,15,61
2019,2020-03-26,0,16,62
2019,2020-03-27,0,15,57
2019,2020-03-28,0,18,67
2019,2020-03-29,0,17,71
2019,2020-03-30,0,14,86
2019,2020-03-31,0,10,66
2019,2020-04-01,0,16,66
2019,2020-04-02,0,15,66
2019,2020-04-03,0,18,72
2019,2020-04-04,0,19,69
2019,2020-04-05,0,17,72
2019,2020-04-06,0,17,98
2019,2020-04-07,0,10,72
2019,2020-04-08,0,15,68
2019,2020-04-09,0,16,66
2019,2020-04-10,0,17,69
2019,2020-04-11,0,15,63
2019,2020-04-12,0,17,75
2019,2020-04-13,0,15,98
2019,2020-04-14,0,11,75
2019,2020-04-15,0,17,71
2019,2020-04-16,0,18,72
2019,2020-04-17,0,18,73
2019,2020-04-18,0,18,75
2019,2020-04-19,0,19,94
2019,2020-04-20,0,13,102
2019,2020-04-21,0,7,25
2019,2020-04-22,0,17,79
2019,2020-04-23,0,17,110
2019,2020-04-24,0,17,131
2019,2020-04-25,0,16,144
2019,2020-04-26,0,16,179
2019,2020-04-27,0,15,156
2019,2020-04-28,0,9,148
2019,2020-04-29,0,15,171
2019,2020-04-30,0,15,190
2019,2020-05-01,0,17,222
2019,2020-05-02,0,17,133
2019,2020-05-03,0,19,87
2019,2020-05-04,0,15,101
2019,2020-05-05,0,8,72
2019,2020-05-06,0,16,67
2019,2020-05-07,0,15,62
2019,2020-05-08,0,18,75
2019,2020-05-09,0,17,74
2019,2020-05-10,0,21,88
2019,2020-05-11,0,17,108
2019,2020-05-12,0,8,74
2019,2020-05-13,0,13,66
2019,2020-05-14,0,15,73
2019,2020-05-15,0,19,84
2019,2020-05-16,0,19,93
2019,2020-05-17,0,20,97
2019,2020-05-18,0,15,102
2019,2020-05-19,0,10,86
2019,2020-05-20,0,16,62
2019,2020-05-21,0,16,64
2019,2020-05-22,0,15,65
2019,2020-05-23,0,16,60
2019,2020-05-24,0,17,76
2019,2020-05-25,0,11,88
2019,2020-05-26,0,10,69
2019,2020-05-27,0,10,83
2019,2020-05-28,0,15,74
2019,2020-05-29,0,15,71
2019,2020-05-30,0,16,77
2019,2020-05-31,0,19,84
2019,2020-06-01,0,14,96
2019,2020-06-02,0,11,81
2019,2020-06-03,0,17,71
2019,2020-06-04,0,17,88
2019,2020-06-05,0,17,77
2019,2020-06-06,0,17,79
2019,2020-06-07,0,19,83
2019,2020-06-08,0,16,102
2019,2020-06-09,0,9,72
2019,2020-06-10,0,15,75
2019,2020-06-11,0,18,82
2019,2020-06-12,0,19,97
2019,2020-06-13,0,14,72
2019,2020-06-14,0,17,88
2019,2020-06-15,0,13,103
2019,2020-06-16,0,8,70
2019,2020-06-17,0,16,72
2019,2020-06-18,0,15,69
2019,2020-06-19,0,17,76
2019,2020-06-20,0,18,79
2019,2020-06-21,0,16,82
2019,2020-06-22,0,14,92
2019,2020-06-23,0,12,75
2019,2020-06-24,0,17,74
2019,2020-06-25,0,16,70
2019,2020-06-26,0,18,82
2019,2020-06-27,0,18,82
2019,2020-06-28,0,18,93
2019,2020-06-29,0,14,93
2019,2020-06-30,0,10,79
2019,2020-07-01,0,17,70
2019,2020-07-02,0,14,66
2019,2020-07-03,0,14,76
2019,2020-07-04,0,8,56
2019,2020-07-05,0,12,76
2019,2020-07-06,0,12,81
2019,2020-07-07,0,10,66
2019,2020-07-08,0,14,103
2019,2020-07-09,0,17,110
2019,2020-07-10,0,14,89
2019,2020-07-11,0,15,84
2019,2020-07-12,0,15,94
2019,2020-07-13,0,12,94
2019,2020-07-14,0,8,71
2019,2020-07-15,0,15,77
2019,2020-07-16,0,16,83
2019,2020-07-17,0,15,81
2019,2020-07-18,0,17,81
2019,2020-07-19,0,15,86
2019,2020-07-20,0,12,84
2019,2020-07-21,0,8,71
2019,2020-07-22,0,14,64
2019,2020-07-23,0,15,81
2019,2020-07-24,0,17,74
2019,2020-07-25,0,16,73
2019,2020-07-26,0,15,76
2019,2020-07-27,0,11,77
2019,2020-07-28,0,8,62
2019,2020-07-29,0,14,65
2019,2020-07-30,0,14,59
2019,2020-07-31,0,14,61
2019,2020-08-01,0,17,69
2019,2020-08-02,0,15,75
2019,2020-08-03,0,12,81
2019,2020-08-04,0,8,60
2019,2020-08-05,0,14,61
2019,2020-08-06,0,15,64
2019,2020-08-07,0,14,58
2019,2020-08-08,0,14,66
2019,2020-08-09,0,14,73
2019,2020-08-10,0,11,79
2019,2020-08-11,0,9,61
2019,2020-08-12,0,14,61
2019,2020-08-13,0,15,64
2019,2020-08-14,0,14,63
2019,2020-08-15,0,13,64
2019,2020-08-16,0,15,71
2019,2020-08-17,0,11,80
2019,2020-08-18,0,9,63
2019,2020-08-19,0,15,147
2019,2020-08-20,0,14,133
2019,2020-08-21,0,14,115
2019,2020-08-22,0,14,116
2019,2020-08-23,0,15,115
2019,2020-08-24,0,12,122
2019,2020-08-25,0,8,128
2019,2020-08-26,0,14,67
2019,2020-08-27,0,14,67
2019,2020-08-28,0,13,64
2019,2020-08-29,0,15,70
2019,2020-08-30,0,15,78
2019,2020-08-31,0,10,91
2019,2020-09-01,0,8,72
2019,2020-09-02,0,9,133
2019,2020-09-03,0,16,137
2019,2020-09-04,0,19,149
2019,2020-09-05,0,16,129
2019,2020-09-06,0,17,143
2019,2020-09-07,0,16,128
2019,2020-09-08,0,12,115
2019,2020-09-09,0,17,106
2019,2020-09-10,0,16,111
2019,2020-09-11,0,16,106
2019,2020-09-12,0,15,117
2019,2020-09-13,0,19,129
2019,2020-09-14,0,15,132
2019,2020-09-15,0,10,121
2019,2020-09-16,0,16,69
2019,2020-09-17,0,17,70
2019,2020-09-18,0,17,71
2019,2020-09-19,0,17,72
2019,2020-09-20,0,17,77
2019,2020-09-21,0,13,83
2019,2020-09-22,0,11,63
2019,2020-09-23,0,16,118
2019,2020-09-24,0,15,132
2019,2020-09-25,0,14,148
2019,2020-09-26,0,14,122
2019,2020-09-27,0,16,134
2019,2020-09-28,0,11,123
2019,2020-09-29,0,10,122
2019,2020-09-30,0,11,130
2019,2020-10-01,0,14,134
2019,2020-10-02,0,14,125
2019,2020-10-03,0,14,110
2019,2020-10-04,0,14,107
2019,2020-10-05,0,13,115
2019,2020-10-06,0,9,95
2019,2020-10-07,0,13,96
2019,2020-10-08,0,15,83
2019,2020-10-09,0,11,62
2019,2020-10-10,0,15,68
2019,2020-10-11,0,16,73
2019,2020-10-12,0,12,83
2019,2020-10-13,0,9,66
2019,2020-10-14,0,11,69
2019,2020-10-15,0,14,62
2019,2020-10-16,0,14,59
2019,2020-10-17,0,13,66
2019,2020-10-18,0,16,73
2019,2020-10-19,0,13,89
2019,2020-10-20,0,9,68
2019,2020-10-21,0,14,65
2019,2020-10-22,0,15,66
2019,2020-10-23,0,17,70
2019,2020-10-24,0,16,70
2019,2020-10-25,0,17,71
2019,2020-10-26,0,15,87
2019,2020-10-27,0,8,58
2019,2020-10-28,0,14,66
2019,2020-10-29,0,14,64
2019,2020-10-30,0,15,70
2019,2020-10-31,0,14,61
2019,2020-11-01,0,16,75
2019,2020-11-02,0,10,84
2019,2020-11-03,0,9,80
2019,2020-11-04,0,16,70
2019,2020-11-05,0,14,63
2019,2020-11-06,0,15,66
2019,2020-11-07,0,16,68
2019,2020-11-08,0,15,76
2019,2020-11-09,0,12,91
2019,2020-11-10,0,12,78
2019,2020-11-11,0,15,83
2019,2020-11-12,0,13,63
2019,2020-11-13,0,15,68
2019,2020-11-14,0,16,71
2019,2020-11-15,0,16,80
2019,2020-11-16,0,13,93
2019,2020-11-17,0,10,76
2019,2020-11-18,0,14,65
2019,2020-11-19,0,14,68
2019,2020-11-20,0,15,68
2019,2020-11-21,0,15,75
2019,2020-11-22,0,15,76
2019,2020-11-23,0,13,93
2019,2020-11-24,0,9,73
2019,2020-11-25,0,16,72
2019,2020-11-26,0,17,75
2019,2020-11-27,0,17,87
2019,2020-11-28,0,6,61
2019,2020-11-29,0,15,179
2019,2020-11-30,0,14,119
2019,2020-12-01,0,8,71
2019,2020-12-02,0,14,65
2019,2020-12-03,0,15,72
2019,2020-12-04,0,16,73
2019,2020-12-05,0,18,74
2019,2020-12-06,0,18,90
2019,2020-12-07,0,15,119
2019,2020-12-08,0,9,90
2019,2020-12-09,0,14,70
2019,2020-12-10,0,16,75
2019,2020-12-11,0,16,79
2019,2020-12-12,0,17,87
2019,2020-12-13,0,20,99
2019,2020-12-14,0,14,133
2019,2020-12-15,0,11,113
2019,2020-12-16,0,17,89
2019,2020-12-17,0,13,83
2019,2020-12-18,0,17,103
2019,2020-12-19,0,16,107
2019,2020-12-20,0,19,119
2019,2020-12-21,0,13,160
2019,2020-12-22,0,13,147
2019,2020-12-23,0,20,151
2019,2020-12-24,0,16,112
2019,2020-12-25,0,3,18
2019,2020-12-26,0,15,109
2019,2020-12-27,0,16,101
2019,2020-12-28,0,13,108
2019,2020-12-29,0,10,85
2019,2020-12-30,0,14,89
2019,2020-12-31,0,15,73
2020,2020-01-01,0,7,55
2020,2020-01-02,0,16,78
2020,2020-01-03,0,16,81
2020,2020-01-04,0,12,96
2020,2020-01-05,0,9,72
2020,2020-01-06,0,16,68
